PC	Variance_Percentage	cumulative_percentage
1	22.977800092206255	22.977800092206255
2	17.576536920022203	40.55433701222846
3	14.775431720921143	55.3297687331496
4	10.991650865566879	66.32141959871647
5	7.861840746966705	74.18326034568318
6	7.141507241211436	81.32476758689462
7	5.307787314453819	86.63255490134844
8	3.6035137496862863	90.23606865103473
9	2.34081243816567	92.5768810892004
10	1.646529533032506	94.2234106222329
