PC	Variance_Percentage	cumulative_percentage
1	77.67943670265078	77.67943670265078
2	5.8555125634647185	83.53494926611549
3	2.9186212481168745	86.45357051423237
4	2.028980149532042	88.48255066376441
5	1.7324983507091087	90.21504901447352
6	1.468269812629253	91.68331882710277
7	1.1494299195983302	92.8327487467011
8	1.0292416395713189	93.86199038627242
9	0.7826953098456642	94.64468569611809
